collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed
2026-06-30 07:01:22,119,"Aadarsh Nagar, Worli",,,2026-06-30 12:15:00.0,0.00,12.8,28.1,86,1005.0,0.0
2026-06-30 07:01:23,152,Aarey Colony,,,2026-06-30 12:30:00.0,0.00,30.6,27.2,95,997.5,1.6
2026-06-30 07:01:24,65,Abhyudaya Nagar,,,2026-06-30 12:30:00.0,0.00,23.4,27.1,93,1005.6,0.0
2026-06-30 07:01:25,59,Afghan Church,,,2026-06-30 12:30:00.0,0.20,37.6,26.2,92,1005.5,4.8
2026-06-30 07:01:26,122,Agarwadi,,,2026-06-30 12:15:00.0,0.40,62.4,26.4,95,1007.1,1.6
2026-06-30 07:01:27,109,"Anand Nagar, Dahisar",,,2026-06-30 12:15:00.0,0.00,30.4,28.2,91,1001.6,4.8
2026-06-30 07:01:28,9,Andheri East,,,2026-06-30 12:30:00.0,0.00,17.4,27.9,89,1006.5,4.8
2026-06-30 07:01:29,9,Andheri Mono Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,17.4,27.9,89,1006.5,4.8
2026-06-30 07:01:30,12,Andheri Rly. Stn. West,,,2026-06-30 12:30:00.0,0.00,17.8,28.4,89,1006.3,1.6
2026-06-30 07:01:31,12,Andheri West,,,2026-06-30 12:30:00.0,0.00,17.8,28.4,89,1006.3,1.6
2026-06-30 07:01:32,126,Anik Bus Depot,,,2026-06-30 12:15:00.0,0.00,26,27.1,93,1005.5,3.2
2026-06-30 07:01:33,53,Antop Hill ,,,2025-03-18 09:30:00.0,0.00,0,0.0,0.0,1012.2,0.0
2026-06-30 07:01:34,122,Anushakti Nagar,,,2026-06-30 12:15:00.0,0.40,62.4,26.4,95,1007.1,1.6
2026-06-30 07:01:35,112,"BPCL Terminal, Sewri",,,2026-06-30 12:15:00.0,0.00,26,27.1,93,1004.6,1.6
2026-06-30 07:01:36,117,BPT Colony,,,2026-06-30 12:30:00.0,0.00,45.4,26.9,95,1005.2,1.6
2026-06-30 07:01:37,138,"BSNL Colony, Khar Danda",,,2026-06-30 12:15:00.0,0.00,18.2,28.3,86,1005.9,8.0
2026-06-30 07:01:38,27,Bandra,,,2026-06-30 12:30:00.0,0.00,35,28.2,90,1003.8,0.0
2026-06-30 07:01:39,124,Bandra Bandstand,,,2026-06-30 12:15:00.0,0.00,26,27.2,91,1005.4,1.6
2026-06-30 07:01:40,124,Bandra Fort,,,2026-06-30 12:15:00.0,0.00,26,27.2,91,1005.4,1.6
2026-06-30 07:01:41,8,Bandra West,,,2026-06-30 12:30:00.0,0.00,26.2,28.3,88,1006.3,1.6
2026-06-30 07:01:42,111,Banganga Lake,,,2026-06-30 12:30:00.0,0.00,29.2,27.2,90,1006.4,4.8
2026-06-30 07:01:43,30,"Bhagwati Hospital, Borivali",,,2026-06-30 12:30:00.0,0.00,23,28.9,89,1006.0,6.4
2026-06-30 07:01:44,56,Bhaidas Auditarium,,,2026-06-30 12:30:00.0,0.00,12.8,28.2,88,1005.7,0.0
2026-06-30 07:01:45,22,Bhandup ,,,2026-06-30 12:30:00.0,0.00,45.2,26.6,91,1005.2,1.6
2026-06-30 07:01:45,28,Bhandup Complex,,,2026-06-30 12:30:00.0,0.00,52.6,26.5,94,1006.6,0.0
2026-06-30 07:01:47,149,Bhandup East,,,2026-06-30 12:15:00.0,2.20,40.8,26.7,92,1005.7,3.2
2026-06-30 07:01:47,22,Bhandup Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,45.2,26.6,91,1005.2,1.6
2026-06-30 07:01:48,153,Bhandup West,,,2026-06-29 16:15:00.0,0.00,3.6,28.7,78,997.7,8.0
2026-06-30 07:01:49,141,"Bharat Nagar,Juhu",,,2026-06-30 12:15:00.0,0.00,9.6,28.5,87,1005.5,4.8
2026-06-30 07:01:50,10,Bharatmata Cinema,,,2026-06-30 12:30:00.0,0.00,24.2,25.8,92,1006.3,0.0
2026-06-30 07:01:51,2,Bhendi bazaar,,,2026-06-30 12:30:00.0,0.00,34.8,27.3,90,1006.2,1.6
2026-06-30 07:01:52,152,Bollywood Filmcity,,,2026-06-30 12:30:00.0,0.00,30.6,27.2,95,997.5,1.6
2026-06-30 07:01:53,30,Borivali Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,23,28.9,89,1006.0,6.4
2026-06-30 07:01:54,1,Borivli West,,,2026-06-30 12:30:00.0,0.00,26.2,28.6,85,1006.2,1.6
2026-06-30 07:01:55,63,Breach Candy Hospital,,,2025-12-17 09:45:00.0,0.00,0,27.7,53,1016.7,4.8
2026-06-30 07:01:56,31,Byculla Bridge,,,2026-06-30 12:30:00.0,0.00,35.8,27.1,87,1005.8,4.8
2026-06-30 07:01:57,31,Byculla Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,35.8,27.1,87,1005.8,4.8
2026-06-30 07:01:58,47,CSMT Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,34,26.9,91,1005.7,3.2
2026-06-30 07:01:59,54,Century Bazar,,,2026-06-30 12:30:00.0,0.00,15.8,28.3,88,1016.1,0.0
2026-06-30 07:02:00,139,Chakala Fish Market,,,2026-06-30 12:15:00.0,0.00,15.2,27.5,87,1003.6,4.8
2026-06-30 07:02:01,139,Chakala Metro Stn.,,,2026-06-30 12:15:00.0,0.00,15.2,27.5,87,1003.6,4.8
2026-06-30 07:02:02,67,Chandivali,,,2026-06-30 12:30:00.0,0.00,50,26.9,94,1005.0,0.0
2026-06-30 07:02:03,164,Charkop,,,2025-12-17 13:45:00.0,0.00,0,32.7,52,1014.5,1.6
2026-06-30 07:02:04,164,Charkop Bus Depot,,,2025-12-17 13:45:00.0,0.00,0,32.7,52,1014.5,1.6
2026-06-30 07:02:05,163,Charkop Market,,,2026-06-30 12:30:00.0,0.00,11.2,29.2,84,1004.8,3.2
2026-06-30 07:02:05,163,Charkop Police Stn.,,,2026-06-30 12:30:00.0,0.00,11.2,29.2,84,1004.8,3.2
2026-06-30 07:02:06,123,"Cheeta Camp, Trombay",,,2026-06-30 12:15:00.0,6.60,78.2,26.3,93,1004.2,3.2
2026-06-30 07:02:07,32,Chembur Naka,,,2026-06-30 12:30:00.0,0.00,30.2,26.1,89,1002.7,0.0
2026-06-30 07:02:08,16,Chembur Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,51.4,27.1,100,1006.6,0.0
2026-06-30 07:02:09,130,"Chimbai Jetty,Bandra",,,2026-06-30 12:15:00.0,0.00,27.4,27.3,91,1004.3,1.6
2026-06-30 07:02:10,33,Chincholi Bunder,,,2026-06-30 12:30:00.0,0.00,10.6,29.4,82,1005.4,0.0
2026-06-30 07:02:11,115,Chinchpokli Rly. Stn.,,,2026-06-30 12:15:00.0,0.00,19.8,27.9,93,1004.9,0.0
2026-06-30 07:02:12,18,Churchgate Rly. Stn.,,,2026-06-30 12:30:00.0,0.20,30.4,24.7,96,1005.4,1.6
2026-06-30 07:02:13,56,Cooper Hospital,,,2026-06-30 12:30:00.0,0.00,12.8,28.2,88,1005.7,0.0
2026-06-30 07:02:14,62,DN Nagar Metro Stn.,,,2026-06-30 12:30:00.0,0.00,14,28.7,78,1005.1,0.0
2026-06-30 07:02:15,35,Dadar East,,,2026-06-30 12:30:00.0,0.00,20.6,27.7,95,1005.8,0.0
2026-06-30 07:02:16,120,Dadar West,,,2026-06-30 12:15:00.0,0.00,17.8,27.9,93,1004.7,1.6
2026-06-30 07:02:17,43,Dahanukar Wadi,,,2026-06-30 12:30:00.0,0.00,14.2,28.3,85,1004.4,3.2
2026-06-30 07:02:18,168,Dahisar ,,,2026-06-30 12:30:00.0,0.00,9,28.3,86,1003.5,4.8
2026-06-30 07:02:19,36,Dahisar Check Naka,,,2026-06-30 12:30:00.0,0.00,28.4,28.2,93,1006.0,3.2
2026-06-30 07:02:20,168,Dahisar Fish Market,,,2026-06-30 12:30:00.0,0.00,9,28.3,86,1003.5,4.8
2026-06-30 07:02:21,109,Dahisar Police Stn.,,,2026-06-30 12:15:00.0,0.00,30.4,28.2,91,1001.6,4.8
2026-06-30 07:02:22,138,Danda Village,,,2026-06-30 12:15:00.0,0.00,18.2,28.3,86,1005.9,8.0
2026-06-30 07:02:23,66,Darukhana,,,2026-06-30 12:30:00.0,0.00,16.6,27.8,36,1006.1,9.7
2026-06-30 07:02:24,3,Dava Bazar,,,2026-06-30 12:30:00.0,0.00,30,25.4,94,1005.9,12.9
2026-06-30 07:02:25,7,Deepak Talkies,,,2026-06-30 12:30:00.0,0.00,26.4,27.7,89,1006.1,3.2
2026-06-30 07:02:26,37,Deonar Municipal Colony,,,2026-06-30 12:30:00.0,0.20,53.6,24.0,57,1009.5,3.2
2026-06-30 07:02:26,38,Dharavi,,,2022-05-06 07:45:00.0,0.00,0,30.1,74,1008.6,6.4
2026-06-30 07:02:27,125,Dharavi Bus Depot,,,2026-06-30 12:30:00.0,0.00,28.8,27.3,93,1005.4,4.8
2026-06-30 07:02:28,125,Dharavi Fort,,,2026-06-30 12:30:00.0,0.00,28.8,27.3,93,1005.4,4.8
2026-06-30 07:02:29,32,Diamond Garden,,,2026-06-30 12:30:00.0,0.00,30.2,26.1,89,1002.7,0.0
2026-06-30 07:02:30,52,Dinanath Mangeshkar Natyagruha,,,2026-06-30 12:30:00.0,0.00,18,26.3,96,1005.6,0.0
2026-06-30 07:02:31,39,Dindoshi,,,2026-06-30 12:30:00.0,0.00,18.4,28.4,96,1002.9,1.6
2026-06-30 07:02:32,157,Dindoshi Bus Depot,,,2026-06-30 12:30:00.0,0.00,27,27.4,91,1000.5,11.3
2026-06-30 07:02:33,2,Dongri,,,2026-06-30 12:30:00.0,0.00,34.4,27.3,90,1006.2,1.6
2026-06-30 07:02:34,49,Dongri ,,,2026-06-30 12:30:00.0,0.00,39,27.3,89,1006.3,3.2
2026-06-30 07:02:35,162,"E.S.I.S Hospital,Mulund",,,2026-06-30 12:15:00.0,0.00,79,26.6,90,1026.5,3.2
2026-06-30 07:02:36,166,Eksar Talav,,,2026-04-04 13:30:00.0,0.00,0,32.6,49,1008.4,6.4
2026-06-30 07:02:37,150,Erangle Beach,,,2026-06-09 13:30:00.0,0.00,0,35.1,74,1005.9,0.0
2026-06-30 07:02:38,121,Fertilizer Township Monorail Stn.,,,2026-06-25 04:00:00.0,0.00,0,26.5,89,1004.0,0.0
2026-06-30 07:02:39,62,Four Bungalow,,,2026-06-30 12:30:00.0,0.00,13.8,28.7,78,1005.1,0.0
2026-06-30 07:02:40,21,GTB Rly. Stn.,,,2026-06-30 12:30:00.0,0.00,36.55,26.6,100,1005.9,1.6
2026-06-30 07:02:41,4,Gandhi Market,,,2026-06-30 12:30:00.0,0.00,40.8,26.8,97,1006.2,0.0
2026-06-30 07:02:42,41,Gawanpada,,,2026-06-30 12:30:00.0,0.20,67.2,26.4,93,1006.6,1.6
2026-06-30 07:02:43,137,Ghatkopar Bus Depot,,,2026-06-30 12:30:00.0,0.20,44.6,26.6,94,1004.9,3.2
2026-06-30 07:02:43,19,Ghatkopar East,,,2026-06-30 12:30:00.0,0.00,65,27.1,94,1006.7,3.2
2026-06-30 07:02:44,136,Ghatkopar Pumping Station,,,2026-06-30 12:15:00.0,1.00,60.6,26.6,94,1004.9,4.8
2026-06-30 07:02:45,137,Ghatkopar Rly. Stn.,,,2026-06-30 12:30:00.0,0.20,44.6,26.6,94,1004.9,3.2
