collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-02 07:52:16,119,"Aadarsh Nagar, Worli",,,2026-08-02 13:00:00.0,0.00,0,1,4.8,4.8,7,28.9,83,1004.4,11.3,SSE,35.3
2026-08-02 07:52:17,152,Aarey Colony,,,2026-08-02 13:15:00.0,0.40,1.2,16,22.4,22.6,24.2,26.1,96,996.9,4.8,WNW,29.9
2026-08-02 07:52:18,65,Abhyudaya Nagar,,,2026-08-02 13:15:00.0,0.00,0.2,0.2,0.4,0.4,0.8,29.7,84,1005.0,3.2,N,37.4
2026-08-02 07:52:19,59,Afghan Church,,,2026-08-02 13:15:00.0,0.00,0,0,0,0,0.4,30.6,83,1005.0,4.8,WSW,40.2
2026-08-02 07:52:20,122,Agarwadi,,,2026-08-02 13:15:00.0,0.00,5.2,11,24.2,26.2,30.8,27.8,94,1006.2,4.8,SSW,34.2
2026-08-02 07:52:21,109,"Anand Nagar, Dahisar",,,2026-08-02 13:15:00.0,0.20,0.2,2,6.4,8,10.8,28.3,87,672.1,8.0,SW,34.3
2026-08-02 07:52:22,9,Andheri East,,,2026-08-02 13:15:00.0,0.20,0.2,12.8,30.2,30.2,32.8,27.3,89,1006.0,6.4,W,31.9
2026-08-02 07:52:23,9,Andheri Mono Rly. Stn.,,,2026-08-02 13:15:00.0,0.20,0.2,12.8,30.2,30.2,32.8,27.3,89,1006.0,6.4,W,31.9
2026-08-02 07:52:24,12,Andheri Rly. Stn. West,,,2026-08-02 13:15:00.0,0.00,0.2,12.2,26.4,26.6,29.2,27.3,89,1005.8,9.7,SW,31.9
2026-08-02 07:52:25,12,Andheri West,,,2026-08-02 13:15:00.0,0.00,0.2,12.2,26.4,26.6,29.2,27.3,89,1005.8,9.7,SW,31.9
2026-08-02 07:52:26,126,Anik Bus Depot,,,2026-08-02 13:15:00.0,0.00,0.2,5.4,5.6,5.6,8.6,28.7,89,1004.6,4.8,SW,35.8
2026-08-02 07:52:27,53,Antop Hill ,,,2026-08-02 13:15:00.0,0.00,2.29,4.06,7.1,7.86,10.39,28.7,86,1005.6,4.8,NE,35.2
2026-08-02 07:52:28,122,Anushakti Nagar,,,2026-08-02 13:15:00.0,0.00,5.2,11,24.2,26.2,30.8,27.8,94,1006.2,4.8,SSW,34.2
2026-08-02 07:52:29,112,"BPCL Terminal, Sewri",,,2026-08-02 13:15:00.0,0.00,0,0.6,7.2,7.2,8.4,29.7,84,1003.8,4.8,W,37.3
2026-08-02 07:52:30,117,BPT Colony,,,2026-08-02 13:15:00.0,0.00,0,0.4,10.8,10.8,13.8,29.3,86,1004.7,3.2,WSW,36.8
2026-08-02 07:52:30,138,"BSNL Colony, Khar Danda",,,2026-08-02 13:15:00.0,0.00,0,3,15.4,15.4,17.2,27.8,88,1005.4,17.7,WSW,33.2
2026-08-02 07:52:31,27,Bandra,,,2026-08-02 13:15:00.0,0.00,0,2,11.4,11.4,19,28.8,86,1003.9,1.6,SW,35.5
2026-08-02 07:52:32,124,Bandra Bandstand,,,2026-08-02 13:15:00.0,0.00,0,1.4,8.8,8.8,15.4,27.7,89,1004.6,4.8,NNE,33.1
2026-08-02 07:52:33,124,Bandra Fort,,,2026-08-02 13:15:00.0,0.00,0,1.4,8.8,8.8,15.4,27.7,89,1004.6,4.8,NNE,33.1
2026-08-02 07:52:34,8,Bandra West,,,2026-08-02 13:15:00.0,0.00,0,6,19.4,19.4,22.8,28.2,86,1006.0,11.3,W,33.7
2026-08-02 07:52:35,111,Banganga Lake,,,2026-08-02 13:15:00.0,0.00,0,0,0,0.2,0.8,29.8,85,1005.9,9.7,N,38.0
2026-08-02 07:52:36,30,"Bhagwati Hospital, Borivali",,,2026-08-02 13:15:00.0,0.00,0,3.2,3.4,3.8,3.8,27.6,92,1005.6,9.7,W,33.1
2026-08-02 07:52:37,56,Bhaidas Auditarium,,,2026-08-02 13:15:00.0,0.00,0,3.4,21,23,24,27.1,89,1005.3,19.3,W,31.2
2026-08-02 07:52:38,22,Bhandup ,,,2026-08-02 13:15:00.0,1.00,1,17.4,30.8,35,39.8,27.6,91,1004.1,6.4,S,33.1
2026-08-02 07:52:39,28,Bhandup Complex,,,2026-08-02 13:15:00.0,1.00,1,9.2,13.4,14.8,17.8,27.1,92,1005.5,0.0,---,31.8
2026-08-02 07:52:40,149,Bhandup East,,,2026-08-02 13:15:00.0,0.00,0,0,0,0,0,27.4,91,1004.5,6.4,W,32.6
2026-08-02 07:52:41,22,Bhandup Rly. Stn.,,,2026-08-02 13:15:00.0,1.00,1,17.4,30.8,35,39.8,27.6,91,1004.1,6.4,S,33.1
2026-08-02 07:52:42,153,Bhandup West,,,2026-08-02 13:15:00.0,0.60,0.6,26.2,30.2,31.2,33.8,27.2,93,999.2,3.2,E,32.3
2026-08-02 07:52:43,141,"Bharat Nagar,Juhu",,,2026-08-02 13:00:00.0,1.00,1,13.2,25.4,25.8,29,26.8,94,1005.0,9.7,SW,31.3
2026-08-02 07:52:44,10,Bharatmata Cinema,,,2026-08-02 13:15:00.0,0.00,0,0.6,5.4,5.4,5.8,27.7,71,1005.8,6.4,W,30.1
2026-08-02 07:52:45,2,Bhendi bazaar,,,2026-08-02 13:15:00.0,0.00,0,0,1,1.2,2.2,30.6,79,1005.6,4.8,NE,38.8
2026-08-02 07:52:46,152,Bollywood Filmcity,,,2026-08-02 13:15:00.0,0.40,1.2,16,22.4,22.6,24.2,26.1,96,996.9,4.8,WNW,29.9
2026-08-02 07:52:47,30,Borivali Rly. Stn.,,,2026-08-02 13:15:00.0,0.00,0,3.2,3.4,3.8,3.8,27.6,92,1005.6,9.7,W,33.1
2026-08-02 07:52:48,1,Borivli West,,,2026-08-02 13:15:00.0,0.20,0.2,3.4,3.6,4,4.2,28.1,85,1005.9,6.4,SW,33.2
2026-08-02 07:52:49,63,Breach Candy Hospital,,,2025-12-17 09:45:00.0,0.00,0,0,0,0,0,27.7,53,1016.7,4.8,ENE,28.2
2026-08-02 07:52:50,31,Byculla Bridge,,,2026-08-02 13:15:00.0,0.00,0,0.2,2,2.2,3,29.9,81,1005.4,4.8,SW,37.1
2026-08-02 07:52:51,31,Byculla Rly. Stn.,,,2026-08-02 13:15:00.0,0.00,0,0.2,2,2.2,3,29.9,81,1005.4,4.8,SW,37.1
2026-08-02 07:52:52,47,CSMT Rly. Stn.,,,2026-08-02 13:00:00.0,0.00,0,0,0.2,0.2,1.6,30.8,83,1005.3,6.4,WNW,40.8
2026-08-02 07:52:53,54,Century Bazar,,,2026-08-02 13:15:00.0,0.00,0.2,0.4,5.8,5.8,8,29.4,84,1016.1,1.6,N,36.6
2026-08-02 07:52:54,139,Chakala Fish Market,,,2026-08-02 13:00:00.0,0.00,0,3,21,22.6,24.4,28.4,88,1003.0,6.4,WSW,34.8
2026-08-02 07:52:55,139,Chakala Metro Stn.,,,2026-08-02 13:00:00.0,0.00,0,3,21,22.6,24.4,28.4,88,1003.0,6.4,WSW,34.8
2026-08-02 07:52:56,67,Chandivali,,,2026-08-02 13:15:00.0,0.00,0,9.8,31,37.2,39,28.1,88,1003.8,9.7,SSW,33.8
2026-08-02 07:52:57,164,Charkop,,,2025-12-17 13:45:00.0,0.00,0,0,0,0,0,32.7,52,1014.5,1.6,NNE,36.6
2026-08-02 07:52:58,164,Charkop Bus Depot,,,2025-12-17 13:45:00.0,0.00,0,0,0,0,0,32.7,52,1014.5,1.6,NNE,36.6
2026-08-02 07:52:59,163,Charkop Market,,,2026-08-02 13:15:00.0,1.00,1,5.2,5.6,5.6,5.6,27.8,89,1004.7,3.2,NNW,33.2
2026-08-02 07:53:00,163,Charkop Police Stn.,,,2026-08-02 13:15:00.0,1.00,1,5.2,5.6,5.6,5.6,27.8,89,1004.7,3.2,NNW,33.2
2026-08-02 07:53:01,123,"Cheeta Camp, Trombay",,,2026-08-02 13:15:00.0,0.00,4,8.4,29.8,33,36.4,27.6,90,1003.3,4.8,W,32.7
2026-08-02 07:53:02,32,Chembur Naka,,,2026-08-02 13:15:00.0,0.00,0,4.57,13.46,13.46,19.53,27.7,83,996.0,4.8,SW,31.9
2026-08-02 07:53:02,16,Chembur Rly. Stn.,,,2026-08-02 13:15:00.0,0.00,0,7.8,22,22,31.4,28.1,100,1005.7,9.7,N,36.6
2026-08-02 07:53:03,130,"Chimbai Jetty,Bandra",,,2026-08-02 13:15:00.0,0.00,0,2.6,7,7.2,10.4,27.6,90,1003.7,3.2,NE,32.7
2026-08-02 07:53:04,33,Chincholi Bunder,,,2026-08-02 13:15:00.0,1.80,1.8,4.8,5.6,5.6,9.2,27.4,87,1005.2,0.0,---,31.8
2026-08-02 07:53:05,115,Chinchpokli Rly. Stn.,,,2026-08-02 13:15:00.0,0.00,0,0.2,6,6,6.4,29.7,85,1004.1,4.8,WNW,37.5
2026-08-02 07:53:06,18,Churchgate Rly. Stn.,,,2026-08-02 13:15:00.0,0.00,0,0,0,0,0.6,28.2,88,1004.5,1.6,NNW,34.1
2026-08-02 07:53:07,56,Cooper Hospital,,,2026-08-02 13:15:00.0,0.00,0,3.4,21,23,24,27.1,89,1005.3,19.3,W,31.2
2026-08-02 07:53:08,62,DN Nagar Metro Stn.,,,2026-08-02 13:15:00.0,0.20,0.2,15.2,24,24,25.6,27.5,80,1004.8,0.0,---,30.9
2026-08-02 07:53:09,35,Dadar East,,,2026-08-02 13:15:00.0,0.00,0.4,2.6,8.6,8.6,10.8,28.6,92,1005.1,3.2,N,36.2
2026-08-02 07:53:10,120,Dadar West,,,2026-08-02 13:15:00.0,0.00,1,1.6,6.8,6.8,8.4,28.4,90,1003.9,1.6,N,35.2
2026-08-02 07:53:11,43,Dahanukar Wadi,,,2026-08-02 13:15:00.0,0.20,0,4,6.2,8.4,8.4,27.3,86,1004.1,4.8,NE,31.3
2026-08-02 07:53:12,168,Dahisar ,,,2026-08-02 13:15:00.0,0.00,0,2,2,2,2,27.8,85,1003.1,11.3,SSW,32.6
2026-08-02 07:53:13,36,Dahisar Check Naka,,,2026-08-02 13:15:00.0,0.40,0.4,5.6,11.2,11.8,12.6,28.3,91,1005.6,4.8,W,35.0
2026-08-02 07:53:14,168,Dahisar Fish Market,,,2026-08-02 13:15:00.0,0.00,0,2,2,2,2,27.8,85,1003.1,11.3,SSW,32.6
