collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-07-31 08:20:13,119,"Aadarsh Nagar, Worli",,,2026-07-31 13:30:00.0,0.00,0,23,32.2,34.4,34.8,28.6,84,998.5,11.3,S,34.6
2026-07-31 08:20:14,152,Aarey Colony,,,2026-07-31 13:45:00.0,0.00,0,1.4,7.2,12.6,17.6,27.1,95,990.8,3.2,WNW,32.2
2026-07-31 08:20:15,65,Abhyudaya Nagar,,,2026-07-31 13:45:00.0,0.80,3.6,13.2,16.8,18.8,19.2,27.5,93,999.0,1.6,N,33.1
2026-07-31 08:20:16,59,Afghan Church,,,2026-07-31 13:45:00.0,0.00,0,4.2,8.4,8.8,9,28.9,87,999.0,4.8,WSW,36.1
2026-07-31 08:20:17,122,Agarwadi,,,2026-07-31 13:45:00.0,0.00,0,3.8,4,4,5.4,28.2,92,1000.5,3.2,SSW,34.9
2026-07-31 08:20:18,109,"Anand Nagar, Dahisar",,,2026-07-31 13:45:00.0,0.00,0,0.8,1.6,8.8,21,28.2,90,672.1,4.8,WSW,34.4
2026-07-31 08:20:19,9,Andheri East,,,2026-07-31 10:30:00.0,0.20,0,0,0.2,1.6,3.2,27.6,91,1001.0,4.8,N,33.1
2026-07-31 08:20:20,9,Andheri Mono Rly. Stn.,,,2026-07-31 10:30:00.0,0.20,0,0,0.2,1.6,3.2,27.6,91,1001.0,4.8,N,33.1
2026-07-31 08:20:21,12,Andheri Rly. Stn. West,,,2026-07-31 13:45:00.0,0.00,0,1.6,3.2,4.2,6.2,28.4,89,999.8,6.4,SSW,34.9
2026-07-31 08:20:22,12,Andheri West,,,2026-07-31 13:45:00.0,0.00,0,1.6,3.2,4.2,6.2,28.4,89,999.8,6.4,SSW,34.9
2026-07-31 08:20:23,126,Anik Bus Depot,,,2026-07-31 13:45:00.0,0.00,0,8.6,9.2,9.2,10,28.6,87,998.8,1.6,WSW,35.0
2026-07-31 08:20:24,53,Antop Hill ,,,2026-07-31 13:45:00.0,0.00,0,12.95,15.74,15.74,17,28.4,88,1000.0,3.2,ENE,34.7
2026-07-31 08:20:25,122,Anushakti Nagar,,,2026-07-31 13:45:00.0,0.00,0,3.8,4,4,5.4,28.2,92,1000.5,3.2,SSW,34.9
2026-07-31 08:20:26,112,"BPCL Terminal, Sewri",,,2026-07-31 13:45:00.0,0.00,0,19,26.6,28.8,32.2,28.2,91,998.2,1.6,SW,34.7
2026-07-31 08:20:27,117,BPT Colony,,,2026-07-31 13:45:00.0,0.00,0,17.4,20,20.2,21.2,28.5,88,998.9,6.4,SW,35.1
2026-07-31 08:20:28,138,"BSNL Colony, Khar Danda",,,2026-07-31 13:45:00.0,0.00,0,2.2,3.6,3.6,4.8,28.6,87,999.4,19.3,WSW,35.0
2026-07-31 08:20:29,27,Bandra,,,2026-07-31 13:45:00.0,0.00,0,6.6,8.2,8.2,9,28.8,87,998.0,1.6,S,35.9
2026-07-31 08:20:30,124,Bandra Bandstand,,,2026-07-31 13:45:00.0,0.00,0,6.6,9,9,9.6,28.3,90,998.5,3.2,NE,34.7
2026-07-31 08:20:31,124,Bandra Fort,,,2026-07-31 13:45:00.0,0.00,0,6.6,9,9,9.6,28.3,90,998.5,3.2,NE,34.7
2026-07-31 08:20:32,8,Bandra West,,,2026-07-31 13:45:00.0,0.00,0,3.2,4,4.2,5.8,28.6,87,999.9,8.0,WNW,35.0
2026-07-31 08:20:33,111,Banganga Lake,,,2026-07-31 13:45:00.0,0.00,0,4.4,14.8,16.6,16.6,28.5,88,1000.0,24.1,N,35.1
2026-07-31 08:20:34,30,"Bhagwati Hospital, Borivali",,,2026-07-31 13:45:00.0,0.00,0,2.2,6.6,11.8,15.4,28.3,93,999.5,9.7,W,35.6
2026-07-31 08:20:35,56,Bhaidas Auditarium,,,2026-07-31 13:45:00.0,0.00,0,4.2,4.6,4.6,5.4,28.4,88,999.3,14.5,W,34.7
2026-07-31 08:20:37,22,Bhandup ,,,2026-07-31 13:45:00.0,0.00,0,2.8,6.6,10.2,16.6,27.8,90,998.3,4.8,SE,33.4
2026-07-31 08:20:38,28,Bhandup Complex,,,2026-07-31 13:45:00.0,0.00,0,2.2,3.8,11,15.8,27.7,90,999.6,0.0,---,33.1
2026-07-31 08:20:39,149,Bhandup East,,,2026-07-31 13:45:00.0,0.00,0,0,0,0,0,28.2,87,998.7,8.0,W,34.0
2026-07-31 08:20:40,22,Bhandup Rly. Stn.,,,2026-07-31 13:45:00.0,0.00,0,2.8,6.6,10.2,16.6,27.8,90,998.3,4.8,SE,33.4
2026-07-31 08:20:41,153,Bhandup West,,,2026-07-31 13:45:00.0,0.00,0,3.2,5,9,14,28.0,89,993.0,4.8,WSW,33.8
2026-07-31 08:20:42,141,"Bharat Nagar,Juhu",,,2026-07-31 13:45:00.0,0.00,0,1.2,5.4,7.6,10.4,28.2,92,999.2,6.4,SW,34.9
2026-07-31 08:20:43,10,Bharatmata Cinema,,,2026-07-31 13:45:00.0,0.00,0,19.6,32.8,33.6,34.2,27.2,65,999.8,0.0,W,28.6
2026-07-31 08:20:44,2,Bhendi bazaar,,,2026-07-31 13:45:00.0,0.00,0,18.8,30.4,32.6,32.6,28.8,85,999.6,9.7,N,35.4
2026-07-31 08:20:45,152,Bollywood Filmcity,,,2026-07-31 13:45:00.0,0.00,0,1.4,7.2,12.6,17.6,27.1,95,990.8,3.2,WNW,32.2
2026-07-31 08:20:46,30,Borivali Rly. Stn.,,,2026-07-31 13:45:00.0,0.00,0,2.2,6.6,11.8,15.4,28.3,93,999.5,9.7,W,35.6
2026-07-31 08:20:47,1,Borivli West,,,2026-07-31 13:45:00.0,0.00,0,2,5.2,9,15.4,28.3,86,999.7,1.6,SW,34.0
2026-07-31 08:20:48,63,Breach Candy Hospital,,,2025-12-17 09:45:00.0,0.00,0,0,0,0,0,27.7,53,1016.7,4.8,ENE,28.2
2026-07-31 08:20:49,31,Byculla Bridge,,,2026-07-31 13:45:00.0,0.00,0,18.6,34.8,37.2,37.2,28.7,85,1000.0,8.0,SSW,35.1
2026-07-31 08:20:50,31,Byculla Rly. Stn.,,,2026-07-31 13:45:00.0,0.00,0,18.6,34.8,37.2,37.2,28.7,85,1000.0,8.0,SSW,35.1
2026-07-31 08:20:51,47,CSMT Rly. Stn.,,,2026-07-31 13:45:00.0,0.00,0,17,26.4,29.4,29.6,29.4,86,999.2,8.0,WNW,37.2
2026-07-31 08:20:52,54,Century Bazar,,,2026-07-31 13:45:00.0,0.00,0,24.4,32.2,34.6,35,29.2,84,1016.1,8.0,N,36.1
2026-07-31 08:20:53,139,Chakala Fish Market,,,2026-07-31 13:30:00.0,0.00,0,1.4,2.4,2.6,3.4,28.6,87,996.8,8.0,WSW,35.2
2026-07-31 08:20:54,139,Chakala Metro Stn.,,,2026-07-31 13:30:00.0,0.00,0,1.4,2.4,2.6,3.4,28.6,87,996.8,8.0,WSW,35.2
2026-07-31 08:20:55,67,Chandivali,,,2026-07-31 13:45:00.0,0.00,0,4.2,9,12.4,14.2,28.5,86,997.9,6.4,S,34.7
2026-07-31 08:20:56,164,Charkop,,,2025-12-17 13:45:00.0,0.00,0,0,0,0,0,32.7,52,1014.5,1.6,NNE,36.6
2026-07-31 08:20:57,164,Charkop Bus Depot,,,2025-12-17 13:45:00.0,0.00,0,0,0,0,0,32.7,52,1014.5,1.6,NNE,36.6
2026-07-31 08:20:58,163,Charkop Market,,,2026-07-31 13:45:00.0,0.00,0,2.6,6,7.2,9.6,28.6,89,998.5,3.2,WNW,35.6
2026-07-31 08:20:59,163,Charkop Police Stn.,,,2026-07-31 13:45:00.0,0.00,0,2.6,6,7.2,9.6,28.6,89,998.5,3.2,WNW,35.6
2026-07-31 08:21:00,123,"Cheeta Camp, Trombay",,,2026-07-31 13:30:00.0,0.00,0,1.8,3.2,4.2,5.6,27.9,89,997.3,3.2,W,33.5
2026-07-31 08:21:01,32,Chembur Naka,,,2026-07-31 13:45:00.0,0.00,0,4.57,5.07,5.07,6.33,27.6,83,991.1,4.8,SW,31.6
2026-07-31 08:21:02,16,Chembur Rly. Stn.,,,2026-07-31 13:45:00.0,0.00,0,4,4,4.4,8.4,28.3,100,999.9,8.0,N,37.2
2026-07-31 08:21:03,130,"Chimbai Jetty,Bandra",,,2026-07-31 13:45:00.0,0.00,0,3.4,5.8,5.8,7.6,27.8,93,997.8,1.6,ENE,34.0
2026-07-31 08:21:04,33,Chincholi Bunder,,,2026-07-31 13:45:00.0,0.00,0,2.6,4.6,6.6,12.4,28.5,87,999.0,0.0,---,34.8
2026-07-31 08:21:05,115,Chinchpokli Rly. Stn.,,,2026-07-31 12:45:00.0,0.00,0,21.2,40.8,43.2,43.8,27.6,94,998.1,4.8,WNW,33.5
2026-07-31 08:21:06,18,Churchgate Rly. Stn.,,,2026-07-31 13:45:00.0,0.00,0,11.4,20.8,21.6,21.8,26.8,92,998.7,3.2,S,31.2
2026-07-31 08:21:07,56,Cooper Hospital,,,2026-07-31 13:45:00.0,0.00,0,4.2,4.6,4.6,5.4,28.4,88,999.3,14.5,W,34.7
2026-07-31 08:21:08,62,DN Nagar Metro Stn.,,,2026-07-31 13:45:00.0,0.00,0,1,3.4,5.2,7.6,28.5,80,998.6,0.0,---,33.6
2026-07-31 08:21:09,35,Dadar East,,,2026-07-31 13:45:00.0,0.00,0,9.6,13,13.2,14,28.4,93,999.3,0.0,N,35.9
2026-07-31 08:21:10,120,Dadar West,,,2026-07-31 13:45:00.0,0.00,0,15.8,20.6,21,22.2,28.5,89,997.9,4.8,NNW,35.2
2026-07-31 08:21:11,43,Dahanukar Wadi,,,2026-07-31 13:45:00.0,0.00,0,3.2,5.8,5.8,8.8,27.9,87,998.0,4.8,W,33.3
2026-07-31 08:21:12,168,Dahisar ,,,2026-07-31 13:45:00.0,0.00,0,0.6,1.4,1.4,2.2,28.1,88,996.9,6.4,W,33.8
2026-07-31 08:21:13,36,Dahisar Check Naka,,,2026-07-31 13:45:00.0,0.00,0,1,2,7,13.6,27.9,95,999.4,1.6,E,34.9
2026-07-31 08:21:14,168,Dahisar Fish Market,,,2026-07-31 13:45:00.0,0.00,0,0.6,1.4,1.4,2.2,28.1,88,996.9,6.4,W,33.8
2026-07-31 08:21:15,109,Dahisar Police Stn.,,,2026-07-31 13:45:00.0,0.00,0,0.8,1.6,8.8,21,28.2,90,672.1,4.8,WSW,34.4
2026-07-31 08:21:16,138,Danda Village,,,2026-07-31 13:45:00.0,0.00,0,2.2,3.6,3.6,4.8,28.6,87,999.4,19.3,WSW,35.0
2026-07-31 08:21:17,66,Darukhana,,,2026-07-31 13:45:00.0,0.00,0,16,28.2,29.2,29.6,28.7,36,999.5,14.5,SE,28.3
2026-07-31 08:21:18,3,Dava Bazar,,,2026-07-31 13:45:00.0,0.00,0,0,19,21.6,21.6,28.8,90,999.3,20.9,WSW,36.5
2026-07-31 08:21:19,7,Deepak Talkies,,,2026-07-31 13:45:00.0,0.00,0,25.8,35.8,38.6,40,28.8,86,999.7,4.8,WSW,35.5
2026-07-31 08:21:20,37,Deonar Municipal Colony,,,2026-07-31 13:45:00.0,0.00,0,2.6,2.6,3.8,4.8,26.2,69,1002.9,12.9,N,27.5
2026-07-31 08:21:21,38,Dharavi,,,2022-05-06 07:45:00.0,0.00,0,0,0,0,0,30.1,74,1008.6,6.4,N,36.2
2026-07-31 08:21:22,125,Dharavi Bus Depot,,,2026-07-31 13:30:00.0,0.00,0,5.6,6.4,6.4,6.8,28.6,88,998.9,9.7,SW,35.2
2026-07-31 08:21:23,125,Dharavi Fort,,,2026-07-31 13:30:00.0,0.00,0,5.6,6.4,6.4,6.8,28.6,88,998.9,9.7,SW,35.2
2026-07-31 08:21:24,32,Diamond Garden,,,2026-07-31 13:45:00.0,0.00,0,4.57,5.07,5.07,6.33,27.6,83,991.1,4.8,SW,31.6
2026-07-31 08:21:25,52,Dinanath Mangeshkar Natyagruha,,,2026-07-31 13:45:00.0,0.00,0,2.6,3,3,3.4,26.7,93,999.1,3.2,ESE,30.9
