collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-13 07:01:40,119,"Aadarsh Nagar, Worli",,,2026-08-13 12:15:00.0,0.00,0.2,0.6,0.6,4,4.4,26.4,87,1007.6,6.4,ESE,29.6
2026-08-13 07:01:41,152,Aarey Colony,,,2026-08-13 12:30:00.0,0.00,0,6.4,6.6,9,9.4,26.7,95,1000.0,1.6,WSW,31.3
2026-08-13 07:01:44,65,Abhyudaya Nagar,,,2026-08-13 12:30:00.0,0.00,3.2,3.4,4.2,11,11.4,26.1,93,1008.2,0.0,N,29.7
2026-08-13 07:01:45,59,Afghan Church,,,2026-08-13 12:30:00.0,0.00,2.6,7.4,7.4,10.6,14.6,26.2,92,1008.2,1.6,SSE,29.8
2026-08-13 07:01:46,122,Agarwadi,,,2026-08-13 12:15:00.0,0.00,0.4,2.2,2.2,7.4,13.4,26.3,94,1009.6,3.2,SSW,30.3
2026-08-13 07:01:47,109,"Anand Nagar, Dahisar",,,2026-08-13 12:15:00.0,0.00,0,0,3,4.8,10.4,28.2,88,672.1,6.4,WSW,34.2
2026-08-13 07:01:48,9,Andheri East,,,2026-08-13 12:30:00.0,0.00,0,6,6,10.4,11,27.1,92,1009.0,3.2,S,31.7
2026-08-13 07:01:49,9,Andheri Mono Rly. Stn.,,,2026-08-13 12:30:00.0,0.00,0,6,6,10.4,11,27.1,92,1009.0,3.2,S,31.7
2026-08-13 07:01:50,12,Andheri Rly. Stn. West,,,2026-08-13 12:30:00.0,0.00,0,4.2,4.2,8,9.2,27.3,90,1008.8,6.4,SSE,32.1
2026-08-13 07:01:51,12,Andheri West,,,2026-08-13 12:30:00.0,0.00,0,4.2,4.2,8,9.2,27.3,90,1008.8,6.4,SSE,32.1
2026-08-13 07:01:52,126,Anik Bus Depot,,,2026-08-13 12:15:00.0,0.00,0,3,3,3,3,27.0,89,1008.0,4.8,SW,31.1
2026-08-13 07:01:53,53,Antop Hill ,,,2026-08-13 12:30:00.0,0.00,0.25,3.04,3.04,5.83,5.83,27.0,88,1009.0,1.6,NE,30.9
