collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-09-10 10:02:02,119,"Aadarsh Nagar, Worli",,,2026-09-10 15:15:00.0,0.00,0,0,0,0,0,30.2,74,1008.3,8.0,SSW,36.3
2026-09-10 10:02:03,152,Aarey Colony,,,2026-09-10 15:15:00.0,0.00,0,0,0,1.8,1.8,30.3,79,1000.7,3.2,NNW,37.8
2026-09-10 10:02:04,65,Abhyudaya Nagar,,,2026-09-10 15:30:00.0,0.00,0,0,0,0,0,30.8,75,1009.0,4.8,N,37.9
2026-09-10 10:02:05,59,Afghan Church,,,2026-09-10 15:15:00.0,0.00,0,0,0,0,0,31.6,75,1008.7,6.4,WSW,40.4
2026-09-10 10:02:06,122,Agarwadi,,,2026-09-10 15:15:00.0,1.80,1.8,1.8,1.8,1.8,1.8,26.2,87,1010.5,11.3,N,29.1
2026-09-10 10:02:08,109,"Anand Nagar, Dahisar",,,2026-09-10 15:15:00.0,0.00,0,0,1.2,8.8,8.8,30.7,78,1005.4,4.8,NW,38.6
2026-09-10 10:02:09,9,Andheri East,,,2026-09-10 15:30:00.0,0.00,0,0,1.6,1.8,2,30.9,76,1009.6,3.2,N,38.4
2026-09-10 10:02:10,9,Andheri Mono Rly. Stn.,,,2026-09-10 15:30:00.0,0.00,0,0,1.6,1.8,2,30.9,76,1009.6,3.2,N,38.4
2026-09-10 10:02:11,12,Andheri Rly. Stn. West,,,2026-09-10 15:30:00.0,0.00,0,0,0,0.2,0.2,31.0,80,1009.6,6.4,W,39.9
2026-09-10 10:02:12,12,Andheri West,,,2026-09-10 15:30:00.0,0.00,0,0,0,0.2,0.2,31.0,80,1009.6,6.4,W,39.9
2026-09-10 10:02:13,126,Anik Bus Depot,,,2026-09-10 15:15:00.0,0.00,0,0,0,0,0,32.1,70,1008.5,3.2,NNE,40.4
2026-09-10 10:02:14,53,Antop Hill ,,,2026-09-10 15:15:00.0,0.00,0,0,0,0,1.27,31.9,71,1009.8,3.2,ESE,40.2
2026-09-10 10:02:15,122,Anushakti Nagar,,,2026-09-10 15:15:00.0,1.80,1.8,1.8,1.8,1.8,1.8,26.2,87,1010.5,11.3,N,29.1
2026-09-10 10:02:16,112,"BPCL Terminal, Sewri",,,2026-09-10 15:15:00.0,0.00,0,0,0,0.2,0.4,31.7,75,1007.9,1.6,SSW,41.1
2026-09-10 10:02:17,117,BPT Colony,,,2026-09-10 15:30:00.0,0.00,0,0,0,0.2,0.6,31.7,75,1008.8,4.8,N,40.8
2026-09-10 10:02:18,138,"BSNL Colony, Khar Danda",,,2026-09-10 15:15:00.0,0.00,0,0,0,0,0,29.9,81,1008.8,0.0,---,37.2
2026-09-10 10:02:19,27,Bandra,,,2026-09-10 15:30:00.0,0.00,0,0,0,0,0.8,30.7,76,1008.7,6.4,SSW,38.2
2026-09-10 10:02:20,124,Bandra Bandstand,,,2026-09-10 15:15:00.0,0.00,0,0,0,0.4,3.2,31.7,75,1008.6,3.2,N,41.1
2026-09-10 10:02:21,124,Bandra Fort,,,2026-09-10 15:15:00.0,0.00,0,0,0,0.4,3.2,31.7,75,1008.6,3.2,N,41.1
2026-09-10 10:02:22,8,Bandra West,,,2026-09-10 15:30:00.0,0.00,0,0,0,0,0,31.9,72,1009.8,6.4,N,40.8
2026-09-10 10:02:23,111,Banganga Lake,,,2026-09-10 15:30:00.0,0.00,0,0,0,0,0,31.3,74,1009.8,4.8,NNE,38.9
2026-09-10 10:02:24,30,"Bhagwati Hospital, Borivali",,,2026-09-10 15:30:00.0,0.00,0,0,0,0,0,30.3,83,1009.3,4.8,W,39.2
2026-09-10 10:02:25,56,Bhaidas Auditarium,,,2026-09-10 15:15:00.0,0.00,0,0,0,0,0,30.4,79,1009.0,12.9,WNW,38.2
2026-09-10 10:02:26,22,Bhandup ,,,2026-09-10 15:30:00.0,0.00,2,4.2,11.8,17.6,17.6,26.8,90,1008.4,1.6,NW,30.8
2026-09-10 10:02:27,28,Bhandup Complex,,,2026-09-10 15:30:00.0,0.00,6.6,9,9.2,10.4,10.4,26.7,92,1009.5,0.0,---,30.7
