collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed
2026-07-01 05:43:47,119,"Aadarsh Nagar, Worli",,,2026-07-01 11:00:00.0,0.00,73.8,28.5,84,1003.2,4.8
2026-07-01 05:43:48,152,Aarey Colony,,,2026-07-01 10:30:00.0,0.00,120.8,-67.2,0.0,995.6,0.0
2026-07-01 05:43:49,65,Abhyudaya Nagar,,,2026-07-01 11:00:00.0,0.00,130.2,27.2,94,1004.1,1.6
2026-07-01 05:43:50,59,Afghan Church,,,2026-07-01 11:00:00.0,0.00,85.6,28.6,89,1004.1,6.4
2026-07-01 05:43:51,122,Agarwadi,,,2026-07-01 11:00:00.0,0.00,169,27.4,94,1005.2,8.0
2026-07-01 05:43:52,109,"Anand Nagar, Dahisar",,,2026-07-01 00:00:00.0,0.20,94.4,26.4,94,999.9,4.8
2026-07-01 05:43:53,9,Andheri East,,,2026-07-01 11:00:00.0,2.20,124,26.8,95,1004.8,3.2
2026-07-01 05:43:55,9,Andheri Mono Rly. Stn.,,,2026-07-01 11:00:00.0,2.20,124,26.8,95,1004.8,3.2
2026-07-01 05:43:57,12,Andheri Rly. Stn. West,,,2026-07-01 11:00:00.0,3.20,118.2,26.8,94,1004.8,4.8
2026-07-01 05:43:58,12,Andheri West,,,2026-07-01 11:00:00.0,3.20,118.2,26.8,94,1004.8,4.8
2026-07-01 05:43:59,126,Anik Bus Depot,,,2026-07-01 11:00:00.0,0.00,41.8,28.1,90,1003.6,4.8
2026-07-01 05:44:00,53,Antop Hill ,,,2025-03-18 09:30:00.0,0.00,0,0.0,0.0,1012.2,0.0
2026-07-01 05:44:01,122,Anushakti Nagar,,,2026-07-01 11:00:00.0,0.00,169,27.4,94,1005.2,8.0
2026-07-01 05:44:02,112,"BPCL Terminal, Sewri",,,2026-07-01 11:00:00.0,0.00,117.8,28.1,91,1003.0,3.2
2026-07-01 05:44:03,117,BPT Colony,,,2026-07-01 11:00:00.0,0.00,129.4,27.6,91,1003.8,4.8
2026-07-01 05:44:04,138,"BSNL Colony, Khar Danda",,,2026-07-01 11:15:00.0,1.00,82.4,27.3,91,1004.1,17.7
2026-07-01 05:44:05,27,Bandra,,,2026-07-01 11:00:00.0,0.25,107.42,28.3,89,1002.1,3.2
2026-07-01 05:44:06,124,Bandra Bandstand,,,2026-07-01 11:00:00.0,0.20,112.4,27.9,92,1003.5,3.2
2026-07-01 05:44:07,124,Bandra Fort,,,2026-07-01 11:00:00.0,0.20,112.4,27.9,92,1003.5,3.2
2026-07-01 05:44:08,8,Bandra West,,,2026-07-01 11:00:00.0,0.00,105.4,27.7,90,1004.8,4.8
2026-07-01 05:44:09,111,Banganga Lake,,,2026-07-01 11:00:00.0,0.00,59.2,28.6,88,1004.7,8.0
2026-07-01 05:44:10,30,"Bhagwati Hospital, Borivali",,,2026-07-01 11:00:00.0,0.00,127.8,26.7,97,1004.5,6.4
2026-07-01 05:44:11,56,Bhaidas Auditarium,,,2026-07-01 11:00:00.0,2.40,97,26.8,94,1004.1,0.0
2026-07-01 05:44:13,22,Bhandup ,,,2026-07-01 11:00:00.0,4.40,118,26.5,92,1003.5,4.8
