collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-26 06:04:31,119,"Aadarsh Nagar, Worli",,,2026-08-26 11:45:00.0,0.00,0,0,0,1.4,1.4,29.9,77,1008.6,3.2,SSE,36.4
2026-08-26 06:04:32,152,Aarey Colony,,,2026-08-26 11:30:00.0,0.00,0,0.6,0.6,0.6,0.8,30.7,79,1001.0,3.2,W,39.1
2026-08-26 06:04:33,65,Abhyudaya Nagar,,,2026-08-26 11:30:00.0,0.00,0,0,0,0.4,0.4,30.7,78,1009.3,3.2,N,38.6
2026-08-26 06:04:34,59,Afghan Church,,,2026-08-26 11:30:00.0,0.00,0,0.6,0.6,0.6,0.6,31.3,80,1009.1,3.2,WSW,41.0
2026-08-26 06:04:35,122,Agarwadi,,,2026-08-26 11:30:00.0,0.00,0,0,0,0.4,1.2,31.4,78,1010.2,3.2,N,41.1
2026-08-26 06:04:35,109,"Anand Nagar, Dahisar",,,2026-08-26 11:15:00.0,0.00,0,0,0,0.2,2,30.6,79,585.2,6.4,W,38.7
2026-08-26 06:04:36,9,Andheri East,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,30.3,80,1010.0,4.8,WSW,38.2
2026-08-26 06:04:37,9,Andheri Mono Rly. Stn.,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,30.3,80,1010.0,4.8,WSW,38.2
2026-08-26 06:04:38,12,Andheri Rly. Stn. West,,,2026-08-26 11:30:00.0,0.00,0,0,0,0.2,0.2,30.3,84,1009.8,6.4,W,39.3
2026-08-26 06:04:39,12,Andheri West,,,2026-08-26 11:30:00.0,0.00,0,0,0,0.2,0.2,30.3,84,1009.8,6.4,W,39.3
2026-08-26 06:04:40,126,Anik Bus Depot,,,2026-08-25 19:00:00.0,0.00,0,0,0,0,0,29.6,81,1006.9,1.6,W,36.4
2026-08-26 06:04:41,53,Antop Hill ,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,32.2,73,1010.0,3.2,E,42.2
2026-08-26 06:04:42,122,Anushakti Nagar,,,2026-08-26 11:30:00.0,0.00,0,0,0,0.4,1.2,31.4,78,1010.2,3.2,N,41.1
2026-08-26 06:04:43,112,"BPCL Terminal, Sewri",,,2026-08-25 12:45:00.0,0.00,0,0,0,0,0,30.8,78,1006.9,1.6,WNW,39.0
2026-08-26 06:04:44,117,BPT Colony,,,2026-08-26 11:30:00.0,0.00,0,0,0,0.4,0.4,30.8,78,1009.2,4.8,WSW,39.0
2026-08-26 06:04:45,138,"BSNL Colony, Khar Danda",,,2026-08-26 11:30:00.0,0.00,0,0,0,0.2,1.2,29.4,83,1009.1,0.0,---,36.4
2026-08-26 06:04:46,27,Bandra,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,31.4,78,1008.6,3.2,SW,40.8
2026-08-26 06:04:47,124,Bandra Bandstand,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,31.4,78,1009.0,3.2,NNE,40.8
2026-08-26 06:04:48,124,Bandra Fort,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,31.4,78,1009.0,3.2,NNE,40.8
2026-08-26 06:04:49,8,Bandra West,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,2,30.8,79,1010.0,6.4,W,39.3
2026-08-26 06:04:50,111,Banganga Lake,,,2026-08-26 11:30:00.0,0.00,0,0,0.2,1.6,1.6,30.2,81,1010.2,12.9,WSW,37.9
2026-08-26 06:04:51,30,"Bhagwati Hospital, Borivali",,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,30.1,85,1009.6,6.4,WSW,38.9
2026-08-26 06:04:52,56,Bhaidas Auditarium,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0,30.3,82,1009.3,6.4,W,38.9
2026-08-26 06:04:53,22,Bhandup ,,,2026-08-26 11:30:00.0,0.00,0,0,0,0,0.4,30.9,76,1008.4,3.2,ESE,38.4
2026-08-26 06:04:54,28,Bhandup Complex,,,2026-08-26 11:30:00.0,0.00,0,0.2,0.2,0.2,0.6,30.8,75,1009.8,0.0,---,38.1
