collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-07-25 07:36:00,119,"Aadarsh Nagar, Worli",,,2026-07-25 13:00:00.0,0.00,0,1.8,1.8,5.4,5.6,30.1,81,1003.5,9.7,SE,37.6
2026-07-25 07:36:01,152,Aarey Colony,,,2026-07-25 13:00:00.0,0.00,0,0.8,0.8,1.4,10.6,29.3,89,995.9,3.2,WNW,37.6
2026-07-25 07:36:02,65,Abhyudaya Nagar,,,2026-07-25 13:00:00.0,0.00,0,0,0,0,0.8,30.9,84,1004.1,3.2,N,41.6
2026-07-25 07:36:03,59,Afghan Church,,,2026-07-25 13:00:00.0,0.00,0,0,1.4,1.4,1.6,31.4,83,1004.2,4.8,S,43.0
2026-07-25 07:36:04,122,Agarwadi,,,2026-07-25 13:00:00.0,0.00,0,4.4,4.6,10.4,14.8,30.2,84,1005.2,4.8,SSW,39.1
2026-07-25 07:36:05,109,"Anand Nagar, Dahisar",,,2026-07-25 13:00:00.0,0.00,0,0,0,1.8,2.8,30.3,82,994.1,9.7,WSW,38.9
2026-07-25 07:36:06,9,Andheri East,,,2026-07-25 13:00:00.0,0.00,0.2,2.4,2.8,3.6,11,29.8,87,1004.9,3.2,SSW,38.7
2026-07-25 07:36:07,9,Andheri Mono Rly. Stn.,,,2026-07-25 13:00:00.0,0.00,0.2,2.4,2.8,3.6,11,29.8,87,1004.9,3.2,SSW,38.7
2026-07-25 07:36:08,12,Andheri Rly. Stn. West,,,2026-07-25 13:00:00.0,0.00,0,0,0.8,0.8,9.8,29.8,88,1004.9,6.4,SW,39.0
2026-07-25 07:36:09,12,Andheri West,,,2026-07-25 13:00:00.0,0.00,0,0,0.8,0.8,9.8,29.8,88,1004.9,6.4,SW,39.0
2026-07-25 07:36:10,126,Anik Bus Depot,,,2026-07-25 13:00:00.0,0.00,0,0.6,1.2,1.2,3.2,30.6,82,1003.8,8.0,SW,39.7
2026-07-25 07:36:11,53,Antop Hill ,,,2026-07-25 13:00:00.0,0.00,0,1.53,1.53,2.03,7.36,30.9,81,1004.9,3.2,WSW,40.3
2026-07-25 07:36:12,122,Anushakti Nagar,,,2026-07-25 13:00:00.0,0.00,0,4.4,4.6,10.4,14.8,30.2,84,1005.2,4.8,SSW,39.1
2026-07-25 07:36:13,112,"BPCL Terminal, Sewri",,,2026-07-25 13:00:00.0,0.00,0,0,0,1,3.8,30.7,82,1003.2,8.0,W,40.1
2026-07-25 07:36:14,117,BPT Colony,,,2026-07-25 13:00:00.0,0.00,0,0,0,3,8.6,30.7,83,1004.0,4.8,WSW,40.5
2026-07-25 07:36:15,138,"BSNL Colony, Khar Danda",,,2026-07-25 13:00:00.0,0.00,0,0.6,0.6,0.8,3.2,29.6,87,1004.1,14.5,WSW,37.8
