collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-07-12 07:48:45,119,"Aadarsh Nagar, Worli",,,2026-07-12 13:00:00.0,0.00,0,0,0,0,0,31.3,76,1005.1,9.7,SE,39.6
2026-07-12 07:48:46,152,Aarey Colony,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.1,81,997.7,4.8,W,40.7
2026-07-12 07:48:47,65,Abhyudaya Nagar,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0.2,32.6,75,1005.8,0.0,ESE,44.3
2026-07-12 07:48:48,59,Afghan Church,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.1,81,1005.9,11.3,SE,40.7
2026-07-12 07:48:49,122,Agarwadi,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,29.9,84,1006.8,11.3,SSW,38.0
2026-07-12 07:48:50,109,"Anand Nagar, Dahisar",,,2026-07-12 13:00:00.0,0.00,0,0,0,0,0,30.8,78,0.0,11.3,WSW,38.8
2026-07-12 07:48:51,9,Andheri East,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.6,79,1006.6,6.4,S,41.9
2026-07-12 07:48:52,9,Andheri Mono Rly. Stn.,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.6,79,1006.6,6.4,S,41.9
2026-07-12 07:48:53,12,Andheri Rly. Stn. West,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.1,84,1006.5,9.7,SSE,41.9
2026-07-12 07:48:54,12,Andheri West,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.1,84,1006.5,9.7,SSE,41.9
2026-07-12 07:48:55,126,Anik Bus Depot,,,2026-07-11 16:00:00.0,0.00,0,0,0,0,0,31.5,77,1006.1,4.8,SW,40.9
2026-07-12 07:48:56,53,Antop Hill ,,,2025-03-18 09:30:00.0,0.00,0,0,0,0,0,0.0,0.0,1012.2,0.0,---,---
2026-07-12 07:48:57,122,Anushakti Nagar,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,29.9,84,1006.8,11.3,SSW,38.0
2026-07-12 07:48:58,112,"BPCL Terminal, Sewri",,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,31.4,78,1004.7,6.4,W,40.8
2026-07-12 07:48:59,117,BPT Colony,,,2026-07-11 16:30:00.0,0.00,0,0,0,0,2.8,30.7,79,1005.8,9.7,SW,39.1
2026-07-12 07:49:00,138,"BSNL Colony, Khar Danda",,,2026-07-12 12:45:00.0,0.00,0,0,0,0,0,30.6,83,1005.9,16.1,SW,40.2
2026-07-12 07:49:01,27,Bandra,,,2026-07-12 13:15:00.0,0.00,0,0,0,0,0,32.0,78,1003.6,0.0,---,43.4
