collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-07-07 08:53:41,119,"Aadarsh Nagar, Worli",,,2026-07-07 14:00:00.0,0.00,0,0,0,0,22,29.2,85,999.4,11.3,S,36.3
2026-07-07 08:53:42,152,Aarey Colony,,,2026-07-07 14:15:00.0,0.00,0,0,6,6.2,26.4,28.3,94,991.7,4.8,WNW,35.8
2026-07-07 08:53:43,65,Abhyudaya Nagar,,,2026-07-07 14:15:00.0,0.00,0,0,0,0.2,35.8,29.5,88,1000.0,0.0,N,37.9
2026-07-07 08:53:44,59,Afghan Church,,,2026-07-07 14:15:00.0,0.00,0,0.2,0.2,0.2,30,29.6,88,1000.1,8.0,WSW,38.3
2026-07-07 08:53:44,122,Agarwadi,,,2026-07-07 14:15:00.0,0.00,0,0,0,0,21.8,29.2,90,1001.3,8.0,SSW,37.6
2026-07-07 08:53:45,109,"Anand Nagar, Dahisar",,,2026-07-07 14:15:00.0,0.00,0,17.2,22,22.6,53,25.9,95,0.0,1.6,NW,29.3
2026-07-07 08:53:46,9,Andheri East,,,2026-07-07 14:15:00.0,0.00,0,0,4.8,5,23,28.4,92,1000.9,6.4,WSW,35.6
2026-07-07 08:53:47,9,Andheri Mono Rly. Stn.,,,2026-07-07 14:15:00.0,0.00,0,0,4.8,5,23,28.4,92,1000.9,6.4,WSW,35.6
2026-07-07 08:53:48,12,Andheri Rly. Stn. West,,,2026-07-07 14:15:00.0,0.60,0.6,0.6,5.2,5.4,23.4,28.4,91,1000.6,9.7,SW,35.3
2026-07-07 08:53:49,12,Andheri West,,,2026-07-07 14:15:00.0,0.60,0.6,0.6,5.2,5.4,23.4,28.4,91,1000.6,9.7,SW,35.3
2026-07-07 08:53:50,126,Anik Bus Depot,,,2026-07-04 22:15:00.0,0.00,0,0,0,0,0,25.3,100,1001.8,3.2,SW,28.5
2026-07-07 08:53:51,53,Antop Hill ,,,2025-03-18 09:30:00.0,0.00,0,0,0,0,0,0.0,0.0,1012.2,0.0,---,---
2026-07-07 08:53:52,122,Anushakti Nagar,,,2026-07-07 14:15:00.0,0.00,0,0,0,0,21.8,29.2,90,1001.3,8.0,SSW,37.6
2026-07-07 08:53:53,112,"BPCL Terminal, Sewri",,,2026-07-07 14:15:00.0,0.00,0,0,0,0,29.4,29.4,88,998.9,6.4,W,37.6
2026-07-07 08:53:54,117,BPT Colony,,,2026-07-07 14:15:00.0,0.00,0,0.2,0.2,0.2,25.4,29.2,88,999.8,3.2,WSW,37.1
2026-07-07 08:53:55,138,"BSNL Colony, Khar Danda",,,2026-07-06 16:45:00.0,0.40,0,0,0,0,2.4,27.5,92,998.5,22.5,W,32.9
2026-07-07 08:53:56,27,Bandra,,,2026-07-07 14:15:00.0,0.00,0,0,0.25,0.25,29.92,29.1,87,1000.7,6.4,W,36.4
2026-07-07 08:53:57,124,Bandra Bandstand,,,2026-07-07 14:15:00.0,0.00,0,0.2,0.2,0.2,11,29.3,88,999.6,3.2,SW,37.4
2026-07-07 08:53:58,124,Bandra Fort,,,2026-07-07 14:15:00.0,0.00,0,0.2,0.2,0.2,11,29.3,88,999.6,3.2,SW,37.4
2026-07-07 08:53:59,8,Bandra West,,,2026-07-07 14:15:00.0,0.00,0,0,0.2,0.2,23.6,29.1,87,1000.7,6.4,W,36.4
2026-07-07 08:54:00,111,Banganga Lake,,,2026-07-07 14:15:00.0,0.00,0,0.4,0.4,0.4,17.8,29.2,89,1001.0,14.5,N,37.4
