collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-07-24 07:57:55,119,"Aadarsh Nagar, Worli",,,2026-07-24 13:15:00.0,0.00,0,3.2,3.4,10.8,22.4,28.6,84,1002.3,17.7,SE,34.4
2026-07-24 07:57:56,152,Aarey Colony,,,2026-07-24 13:15:00.0,0.00,0,3.4,3.4,8.6,13.4,28.2,92,994.6,4.8,W,34.9
2026-07-24 07:57:57,65,Abhyudaya Nagar,,,2026-07-24 13:15:00.0,0.00,0,1.2,1.2,12.8,17,29.3,87,1003.0,3.2,N,37.2
2026-07-24 07:57:58,59,Afghan Church,,,2026-07-24 12:45:00.0,0.00,0,3,4.4,40.4,48.6,27.8,89,1003.0,8.0,WSW,33.2
2026-07-24 07:58:00,122,Agarwadi,,,2026-07-24 13:15:00.0,0.00,0,4.4,4.8,12.4,37.4,28.9,88,1004.2,4.8,SSW,36.2
2026-07-24 07:58:01,109,"Anand Nagar, Dahisar",,,2026-07-24 13:15:00.0,0.00,0.6,1.8,1.8,20.6,37.2,28.8,88,994.1,11.3,SW,35.9
2026-07-24 07:58:02,9,Andheri East,,,2026-07-24 13:15:00.0,0.20,0.6,0.6,0.8,0.8,8,28.6,89,1003.7,3.2,WSW,35.4
2026-07-24 07:58:03,9,Andheri Mono Rly. Stn.,,,2026-07-24 13:15:00.0,0.20,0.6,0.6,0.8,0.8,8,28.6,89,1003.7,3.2,WSW,35.4
2026-07-24 07:58:05,12,Andheri Rly. Stn. West,,,2026-07-24 13:15:00.0,0.00,0,2,2.2,4,6.6,28.7,89,1003.6,8.0,SSW,35.9
2026-07-24 07:58:06,12,Andheri West,,,2026-07-24 13:15:00.0,0.00,0,2,2.2,4,6.6,28.7,89,1003.6,8.0,SSW,35.9
2026-07-24 07:58:07,126,Anik Bus Depot,,,2026-07-24 13:15:00.0,1.40,1.6,3,3.6,3.6,18.2,28.5,87,1002.8,8.0,SW,34.8
2026-07-24 07:58:09,53,Antop Hill ,,,2026-07-24 12:45:00.0,0.00,0,4.06,4.31,9.89,20.56,29.1,84,1004.1,4.8,SE,35.8
2026-07-24 07:58:10,122,Anushakti Nagar,,,2026-07-24 13:15:00.0,0.00,0,4.4,4.8,12.4,37.4,28.9,88,1004.2,4.8,SSW,36.2
2026-07-24 07:58:11,112,"BPCL Terminal, Sewri",,,2026-07-24 13:15:00.0,0.00,0,1,1,10,26.2,29.2,86,1001.8,11.3,W,36.5
2026-07-24 07:58:12,117,BPT Colony,,,2026-07-24 13:15:00.0,0.00,0,2.4,2.8,11,30.2,29.1,87,1002.6,6.4,S,36.4
2026-07-24 07:58:14,138,"BSNL Colony, Khar Danda",,,2026-07-24 13:15:00.0,0.00,0,0.4,0.8,2.8,5.2,28.1,88,1002.8,22.5,SW,33.9
2026-07-24 07:58:15,27,Bandra,,,2026-07-24 13:15:00.0,3.60,4.2,4.6,5.8,9.2,20.2,27.9,88,1001.5,0.0,---,33.3
2026-07-24 07:58:16,124,Bandra Bandstand,,,2026-07-24 13:15:00.0,2.00,2,2.6,3.8,7.8,17.6,27.9,88,1002.6,4.8,SSE,33.3
2026-07-24 07:58:17,124,Bandra Fort,,,2026-07-24 13:15:00.0,2.00,2,2.6,3.8,7.8,17.6,27.9,88,1002.6,4.8,SSE,33.3
2026-07-24 07:58:19,8,Bandra West,,,2026-07-24 13:15:00.0,0.00,0,1,1.4,5.8,13.2,28.7,87,1003.7,6.4,W,35.5
2026-07-24 07:58:20,111,Banganga Lake,,,2026-07-24 13:15:00.0,0.00,0,3.2,3.2,9.4,9.8,28.2,87,1004.0,6.4,N,33.9
2026-07-24 07:58:21,30,"Bhagwati Hospital, Borivali",,,2026-07-24 13:15:00.0,0.00,0,1.6,1.6,7,28.6,29.2,91,1003.1,9.7,WSW,37.9
2026-07-24 07:58:22,56,Bhaidas Auditarium,,,2026-07-24 13:15:00.0,0.00,0,1.4,1.6,2.8,5.2,28.3,88,1003.1,14.5,WSW,34.5
2026-07-24 07:58:24,22,Bhandup ,,,2026-07-24 13:15:00.0,0.00,0,3.4,3.4,10.8,21,28.7,87,1002.1,11.3,S,35.5
2026-07-24 07:58:25,28,Bhandup Complex,,,2026-07-24 13:15:00.0,0.00,0,2,2,3.4,12.2,28.6,88,1003.4,0.0,---,35.4
2026-07-24 07:58:26,149,Bhandup East,,,2026-07-24 13:15:00.0,0.00,0,0,0,0,0,29.3,84,1002.5,8.0,W,36.3
