collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-12 06:57:38,119,"Aadarsh Nagar, Worli",,,2026-08-12 12:15:00.0,0.00,0.2,3,3,5,28,27.9,86,1005.6,8.0,SSE,33.1
2026-08-12 06:57:39,152,Aarey Colony,,,2026-08-12 12:15:00.0,0.00,0,0,1.2,6.8,43.6,28.5,89,998.0,3.2,WNW,35.2
2026-08-12 06:57:40,65,Abhyudaya Nagar,,,2026-08-12 12:15:00.0,0.00,4,11.4,11.4,11.4,33.4,27.3,93,1006.2,1.6,N,32.6
2026-08-12 06:57:41,59,Afghan Church,,,2026-08-12 12:15:00.0,0.00,3,7,9.2,12,39.2,27.4,91,1006.1,1.6,W,32.4
2026-08-12 06:57:42,122,Agarwadi,,,2026-08-12 12:15:00.0,0.00,0,0,0.2,6.4,27.4,28.3,93,1007.3,3.2,SSW,35.6
2026-08-12 06:57:43,109,"Anand Nagar, Dahisar",,,2026-08-12 12:15:00.0,0.00,0,0,0.4,11,68.2,29.8,83,672.1,3.2,NNW,37.3
2026-08-12 06:57:44,9,Andheri East,,,2026-08-12 12:15:00.0,0.40,0.4,0.4,0.4,20.6,64.4,28.7,87,1007.1,3.2,N,35.5
2026-08-12 06:57:45,9,Andheri Mono Rly. Stn.,,,2026-08-12 12:15:00.0,0.40,0.4,0.4,0.4,20.6,64.4,28.7,87,1007.1,3.2,N,35.5
2026-08-12 06:57:46,12,Andheri Rly. Stn. West,,,2026-08-12 12:15:00.0,0.20,0.2,0.2,0.2,19,61.4,28.6,87,1006.9,3.2,W,35.2
2026-08-12 06:57:47,12,Andheri West,,,2026-08-12 12:15:00.0,0.20,0.2,0.2,0.2,19,61.4,28.6,87,1006.9,3.2,W,35.2
2026-08-12 06:57:48,126,Anik Bus Depot,,,2026-08-12 12:15:00.0,0.00,0,0,0,0,17.4,29.1,84,1005.8,3.2,WNW,35.8
2026-08-12 06:57:49,53,Antop Hill ,,,2026-08-12 12:15:00.0,0.00,1.02,1.02,1.02,3.05,18.52,28.8,86,1006.9,3.2,E,35.5
2026-08-12 06:57:50,122,Anushakti Nagar,,,2026-08-12 12:15:00.0,0.00,0,0,0.2,6.4,27.4,28.3,93,1007.3,3.2,SSW,35.6
2026-08-12 06:57:51,112,"BPCL Terminal, Sewri",,,2026-08-12 12:15:00.0,0.00,3,6.6,6.6,6.8,36.6,28.2,92,1005.3,0.0,N,34.9
2026-08-12 06:57:52,117,BPT Colony,,,2026-08-12 12:15:00.0,0.00,0.8,1.8,1.8,3.6,26,28.3,90,1006.1,3.2,WNW,34.7
2026-08-12 06:57:53,138,"BSNL Colony, Khar Danda",,,2026-08-12 12:15:00.0,0.00,0,0,0,16.2,50.8,28.3,88,1006.5,12.9,WSW,34.4
2026-08-12 06:57:54,27,Bandra,,,2026-08-12 12:15:00.0,0.00,0,0,4,4.8,27.8,28.9,84,1005.3,1.6,S,35.4
2026-08-12 06:57:55,124,Bandra Bandstand,,,2026-08-12 12:15:00.0,0.00,0,0,2.2,2.8,23,28.9,86,1005.9,1.6,NNE,35.9
2026-08-12 06:57:56,124,Bandra Fort,,,2026-08-12 12:15:00.0,0.00,0,0,2.2,2.8,23,28.9,86,1005.9,1.6,NNE,35.9
2026-08-12 06:57:57,8,Bandra West,,,2026-08-12 12:15:00.0,0.00,0,0,0,9,44,28.7,86,1007.0,6.4,W,35.2
2026-08-12 06:57:58,111,Banganga Lake,,,2026-08-12 12:15:00.0,0.40,0.4,2,2,2,25.8,27.0,86,1007.3,22.5,N,30.7
2026-08-12 06:57:59,30,"Bhagwati Hospital, Borivali",,,2026-08-12 12:15:00.0,0.00,0,0,0.2,12.8,74.6,29.3,89,1006.5,9.7,W,37.6
2026-08-12 06:58:00,56,Bhaidas Auditarium,,,2026-08-12 12:15:00.0,0.00,0,0,0,24.4,57.4,28.3,86,1006.5,9.7,W,34.0
2026-08-12 06:58:01,22,Bhandup ,,,2026-08-12 12:15:00.0,0.00,0,0,2.4,20,51.6,28.5,86,1005.5,3.2,SE,34.7
