collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-21 06:02:53,119,"Aadarsh Nagar, Worli",,,2026-08-21 11:15:00.0,0.00,0,0,0,0,0.8,29.3,79,1008.0,8.0,SE,35.4
2026-08-21 06:02:54,152,Aarey Colony,,,2026-08-21 11:30:00.0,0.00,0,2,2,2,3.2,27.8,91,1000.5,3.2,WNW,33.6
2026-08-21 06:02:55,65,Abhyudaya Nagar,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0.8,30.4,79,1008.6,1.6,N,38.3
2026-08-21 06:02:56,59,Afghan Church,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,31.4,80,1008.5,3.2,W,41.6
2026-08-21 06:02:57,122,Agarwadi,,,2026-08-21 11:15:00.0,0.00,0,0,0,0,1.6,29.8,82,1009.7,4.8,SW,37.1
2026-08-21 06:02:58,109,"Anand Nagar, Dahisar",,,2026-08-21 11:30:00.0,0.60,0,0,0,0,3.4,28.8,88,672.1,1.6,SW,36.1
2026-08-21 06:02:59,9,Andheri East,,,2026-08-21 11:30:00.0,0.00,0.6,1,1,1,1.4,29.4,81,1009.5,6.4,WSW,35.9
2026-08-21 06:03:00,9,Andheri Mono Rly. Stn.,,,2026-08-21 11:30:00.0,0.00,0.6,1,1,1,1.4,29.4,81,1009.5,6.4,WSW,35.9
2026-08-21 06:03:01,12,Andheri Rly. Stn. West,,,2026-08-21 11:30:00.0,0.00,0.2,0.6,0.6,0.6,1,29.7,83,1009.4,8.0,SSW,37.2
2026-08-21 06:03:02,12,Andheri West,,,2026-08-21 11:30:00.0,0.00,0.2,0.6,0.6,0.6,1,29.7,83,1009.4,8.0,SSW,37.2
2026-08-21 06:03:03,126,Anik Bus Depot,,,2026-08-21 11:15:00.0,0.00,0,0,0,0,1.4,30.2,80,1008.5,4.8,W,37.8
2026-08-21 06:03:04,53,Antop Hill ,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,30.6,77,1009.3,3.2,E,38.1
2026-08-21 06:03:05,122,Anushakti Nagar,,,2026-08-21 11:15:00.0,0.00,0,0,0,0,1.6,29.8,82,1009.7,4.8,SW,37.1
2026-08-21 06:03:06,112,"BPCL Terminal, Sewri",,,2026-08-21 11:15:00.0,0.00,0,0,0,0,0,29.8,81,1007.7,6.4,WNW,36.9
2026-08-21 06:03:07,117,BPT Colony,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0.2,30.1,81,1008.6,4.8,WSW,37.6
2026-08-21 06:03:08,138,"BSNL Colony, Khar Danda",,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,29.2,83,1008.9,16.1,WSW,35.8
2026-08-21 06:03:09,27,Bandra,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,31.2,77,1008.0,1.6,W,39.7
2026-08-21 06:03:10,124,Bandra Bandstand,,,2026-08-21 11:15:00.0,0.00,0,0,0,0,0,30.9,80,1008.5,3.2,NE,39.8
2026-08-21 06:03:11,124,Bandra Fort,,,2026-08-21 11:15:00.0,0.00,0,0,0,0,0,30.9,80,1008.5,3.2,NE,39.8
2026-08-21 06:03:12,8,Bandra West,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,30.2,80,1009.6,9.7,W,37.7
2026-08-21 06:03:13,111,Banganga Lake,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,30.4,79,1009.7,8.0,N,38.2
2026-08-21 06:03:14,30,"Bhagwati Hospital, Borivali",,,2026-08-21 11:30:00.0,0.00,5,5,5,5,5.8,28.2,94,1009.1,4.8,W,35.4
2026-08-21 06:03:15,56,Bhaidas Auditarium,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,29.5,81,1008.9,11.3,W,36.1
2026-08-21 06:03:16,22,Bhandup ,,,2026-08-21 11:30:00.0,0.00,0.6,1,1.6,1.8,3.8,28.1,86,1007.9,8.0,SE,33.4
2026-08-21 06:03:17,28,Bhandup Complex,,,2026-08-21 11:30:00.0,0.00,0,1.4,1.4,1.6,3.2,28.0,87,1009.4,0.0,---,33.4
2026-08-21 06:03:18,149,Bhandup East,,,2026-08-21 11:15:00.0,0.00,1.2,1.2,1.2,1.4,2,28.6,84,1008.3,6.4,WNW,34.6
2026-08-21 06:03:19,22,Bhandup Rly. Stn.,,,2026-08-21 11:30:00.0,0.00,0.6,1,1.6,1.8,3.8,28.1,86,1007.9,8.0,SE,33.4
2026-08-21 06:03:20,153,Bhandup West,,,2026-08-21 11:15:00.0,0.00,0,0.4,0.6,1,1.8,29.4,84,1002.8,1.6,E,36.7
2026-08-21 06:03:21,141,"Bharat Nagar,Juhu",,,2026-08-21 11:15:00.0,0.00,0,0,0,0,0.4,29.6,85,1008.6,4.8,SW,37.2
2026-08-21 06:03:22,10,Bharatmata Cinema,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,0,28.2,76,1009.5,0.0,WSW,32.0
2026-08-21 06:03:23,2,Bhendi bazaar,,,2026-08-21 11:30:00.0,0.00,0,0,0,0,1.2,30.1,76,1009.3,12.9,N,36.4
2026-08-21 06:03:24,152,Bollywood Filmcity,,,2026-08-21 11:30:00.0,0.00,0,2,2,2,3.2,27.8,91,1000.5,3.2,WNW,33.6
2026-08-21 06:03:25,30,Borivali Rly. Stn.,,,2026-08-21 11:30:00.0,0.00,5,5,5,5,5.8,28.2,94,1009.1,4.8,W,35.4
