collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-08-11 06:33:40,119,"Aadarsh Nagar, Worli",,,2026-08-11 12:00:00.0,0.00,0.8,3,9.4,21.4,21.8,26.4,87,1004.8,12.9,SE,29.5
2026-08-11 06:33:41,152,Aarey Colony,,,2026-08-11 12:00:00.0,1.20,5.6,21.2,25.6,29.2,29.4,25.4,97,997.2,1.6,N,28.4
2026-08-11 06:33:42,65,Abhyudaya Nagar,,,2026-08-11 12:00:00.0,2.60,6,10.6,20.2,24.6,29.4,25.6,95,1005.6,0.0,N,28.6
2026-08-11 06:33:43,59,Afghan Church,,,2026-08-11 12:00:00.0,0.20,4.8,7.4,13.8,25.2,25.2,26.2,93,1005.0,6.4,WSW,29.8
2026-08-11 06:33:45,122,Agarwadi,,,2026-08-11 12:00:00.0,4.80,12.2,19.6,25.6,31.6,33.4,25.7,97,1006.7,3.2,SSW,29.2
2026-08-11 06:33:46,109,"Anand Nagar, Dahisar",,,2026-08-11 11:45:00.0,1.40,8,25.8,33.2,37.6,37.8,25.7,95,672.1,4.8,SW,28.9
2026-08-11 06:33:47,9,Andheri East,,,2026-08-11 12:00:00.0,1.20,4.4,21.8,28,35.6,35.6,25.7,95,1006.3,3.2,N,28.9
2026-08-11 06:33:48,9,Andheri Mono Rly. Stn.,,,2026-08-11 12:00:00.0,1.20,4.4,21.8,28,35.6,35.6,25.7,95,1006.3,3.2,N,28.9
2026-08-11 06:33:49,12,Andheri Rly. Stn. West,,,2026-08-11 12:00:00.0,1.40,4.4,21.2,27.4,34.8,34.8,25.7,93,1006.2,3.2,S,28.8
2026-08-11 06:33:50,12,Andheri West,,,2026-08-11 12:00:00.0,1.40,4.4,21.2,27.4,34.8,34.8,25.7,93,1006.2,3.2,S,28.8
2026-08-11 06:33:51,126,Anik Bus Depot,,,2026-08-11 12:00:00.0,2.60,9.4,16.4,18.6,18.6,18.6,25.9,93,1005.0,6.4,SW,29.2
2026-08-11 06:33:52,53,Antop Hill ,,,2026-08-11 12:00:00.0,1.27,7.62,15.99,18.78,28.68,35.79,26.1,91,1006.2,3.2,E,29.3
2026-08-11 06:33:53,122,Anushakti Nagar,,,2026-08-11 12:00:00.0,4.80,12.2,19.6,25.6,31.6,33.4,25.7,97,1006.7,3.2,SSW,29.2
2026-08-11 06:33:54,112,"BPCL Terminal, Sewri",,,2026-08-11 12:00:00.0,1.60,3.8,11.8,19.2,27.6,28.8,25.8,94,1004.3,3.2,W,29.0
2026-08-11 06:33:55,117,BPT Colony,,,2026-08-11 12:00:00.0,0.80,8,18.6,24.2,33,33.4,25.7,94,1005.4,4.8,SW,28.7
2026-08-11 06:33:56,138,"BSNL Colony, Khar Danda",,,2026-08-11 12:00:00.0,0.20,4,11.4,15.4,21.4,21.4,26.2,92,1005.6,20.9,WSW,29.8
2026-08-11 06:33:57,27,Bandra,,,2026-08-11 12:00:00.0,1.80,9.6,21,25,33.6,40.8,26.1,93,1004.6,1.6,SSW,29.7
2026-08-11 06:33:58,124,Bandra Bandstand,,,2026-08-11 12:00:00.0,0.60,8.4,15.6,17.8,23,32.4,26.0,95,1005.0,3.2,ESE,29.6
2026-08-11 06:33:59,124,Bandra Fort,,,2026-08-11 12:00:00.0,0.60,8.4,15.6,17.8,23,32.4,26.0,95,1005.0,3.2,ESE,29.6
2026-08-11 06:34:00,8,Bandra West,,,2026-08-11 12:00:00.0,0.20,3.2,14.6,21.2,28,30.8,25.7,93,1006.2,11.3,W,28.8
2026-08-11 06:34:01,111,Banganga Lake,,,2026-08-11 12:00:00.0,0.20,4.6,9,20,26.4,26.4,25.9,93,1006.3,27.4,N,29.2
2026-08-11 06:34:02,30,"Bhagwati Hospital, Borivali",,,2026-08-11 12:00:00.0,1.20,10.8,36.6,53.4,53.6,53.6,25.6,98,1005.8,4.8,WSW,29.0
2026-08-11 06:34:03,56,Bhaidas Auditarium,,,2026-08-11 12:00:00.0,1.80,4.6,29.6,37.4,46.8,47,25.3,93,1005.7,11.3,WNW,28.0
2026-08-11 06:34:04,22,Bhandup ,,,2026-08-11 12:00:00.0,1.00,3,20.6,24,35,37,25.7,92,1004.7,3.2,SSE,28.7
