collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-07-23 08:00:17,119,"Aadarsh Nagar, Worli",,,2026-07-23 13:15:00.0,0.20,1.8,12.6,20.6,37.8,56.4,27.8,87,1001.2,16.1,SE,32.9
2026-07-23 08:00:18,152,Aarey Colony,,,2026-07-23 13:15:00.0,0.40,2.2,15,27.8,66,102.2,26.4,98,993.5,4.8,W,30.9
2026-07-23 08:00:19,65,Abhyudaya Nagar,,,2026-07-23 13:15:00.0,0.40,2.8,13.4,19.4,32,49.8,26.8,94,1002.0,3.2,N,31.4
2026-07-23 08:00:20,59,Afghan Church,,,2026-07-23 13:15:00.0,0.20,1,11.2,15.2,23,35.2,27.7,93,1001.9,6.4,SE,33.7
2026-07-23 08:00:21,122,Agarwadi,,,2026-07-23 13:15:00.0,0.40,4.4,15.2,20.2,41.2,67,27.3,95,1003.1,8.0,S,32.9
2026-07-23 08:00:22,109,"Anand Nagar, Dahisar",,,2026-07-23 13:00:00.0,0.40,1.4,12,27,55.2,102.4,26.9,95,994.1,6.4,SW,31.9
2026-07-23 08:00:23,9,Andheri East,,,2026-07-23 13:15:00.0,0.60,2.6,8.8,17.8,51,75.4,26.9,95,1002.8,4.8,SSW,31.9
2026-07-23 08:00:24,9,Andheri Mono Rly. Stn.,,,2026-07-23 13:30:00.0,0.60,2.6,8.8,17.8,51,75.4,27.1,95,1002.8,4.8,WSW,32.2
2026-07-23 08:00:25,12,Andheri Rly. Stn. West,,,2026-07-23 13:15:00.0,0.20,1.8,12,22.4,52.6,72.8,27.2,93,1002.6,11.3,SSE,32.3
2026-07-23 08:00:26,12,Andheri West,,,2026-07-23 13:15:00.0,0.20,1.8,12,22.4,52.6,72.8,27.2,93,1002.6,11.3,SSE,32.3
2026-07-23 08:00:27,126,Anik Bus Depot,,,2026-07-23 13:15:00.0,0.20,2.2,13.8,21.8,22.6,31.8,27.6,92,1001.7,8.0,SW,33.1
2026-07-23 08:00:28,53,Antop Hill ,,,2026-07-23 13:15:00.0,0.00,2.29,10.67,17.79,35.04,56.59,27.2,91,1002.9,1.6,N,31.8
2026-07-23 08:00:29,122,Anushakti Nagar,,,2026-07-23 13:15:00.0,0.40,2.8,14.8,19.8,41.2,66.8,27.3,95,1003.1,8.0,S,32.9
2026-07-23 08:00:30,112,"BPCL Terminal, Sewri",,,2026-07-23 13:15:00.0,0.60,2,12.6,18.4,34.8,52,27.2,94,1000.9,4.8,W,32.4
2026-07-23 08:00:31,117,BPT Colony,,,2026-07-23 13:15:00.0,0.40,1.8,13,19.8,37.2,60.2,27.2,94,1001.9,4.8,SSE,32.3
2026-07-23 08:00:32,138,"BSNL Colony, Khar Danda",,,2026-07-23 13:15:00.0,0.00,0.8,9,16.6,35.4,50.2,28.1,91,1001.9,19.3,SW,34.6
2026-07-23 08:00:33,27,Bandra,,,2026-07-23 13:15:00.0,0.00,1,12.4,25.4,45.8,69,27.8,93,1000.5,0.0,---,34.0
