collection_time,station_id,station_name,latitude,longitude,observation_time,rain_current_mm,rain_1hr_mm,rain_3hr_mm,rain_6hr_mm,rain_12hr_mm,rain_24hr_mm,temperature,humidity,pressure,wind_speed,wind_dir,heat_index
2026-09-18 10:02:37,119,"Aadarsh Nagar, Worli",,,2026-09-18 15:15:00.0,0.00,0,2.8,2.8,2.8,8.6,30.5,77,1008.0,4.8,ESE,37.9
2026-09-18 10:02:38,152,Aarey Colony,,,2026-09-18 15:30:00.0,0.00,2.4,2.8,5.6,12.4,32.4,29.0,91,1000.4,1.6,W,37.3
2026-09-18 10:02:39,65,Abhyudaya Nagar,,,2026-09-18 15:30:00.0,0.00,0,0,0,0,2.8,30.9,78,1008.6,1.6,N,39.1
2026-09-18 10:02:40,59,Afghan Church,,,2026-09-18 15:30:00.0,0.00,0,0,1.2,1.2,1.2,31.2,81,1008.6,4.8,WSW,41.2
2026-09-18 10:02:41,122,Agarwadi,,,2026-09-18 15:15:00.0,0.00,0.2,0.2,0.2,0.8,2.4,30.1,88,1009.8,1.6,NNW,39.8
2026-09-18 10:02:42,109,"Anand Nagar, Dahisar",,,2026-09-18 15:30:00.0,0.00,0,0,0,0.2,6.8,30.8,78,1005.3,6.4,WSW,38.8
2026-09-18 10:02:43,9,Andheri East,,,2026-09-18 15:30:00.0,0.00,0.6,2.6,2.8,2.8,29,29.9,84,1009.5,4.8,W,38.0
2026-09-18 10:02:44,9,Andheri Mono Rly. Stn.,,,2026-09-18 15:30:00.0,0.00,0.6,2.6,2.8,2.8,29,29.9,84,1009.5,4.8,W,38.0
2026-09-18 10:02:45,12,Andheri Rly. Stn. West,,,2026-09-18 15:30:00.0,0.00,1,3.4,3.4,3.4,26,29.8,85,1009.4,6.4,SSW,37.8
2026-09-18 10:02:46,12,Andheri West,,,2026-09-18 15:30:00.0,0.00,0.2,3.4,3.4,3.4,26,29.8,85,1009.4,6.4,SSW,37.8
2026-09-18 10:02:47,126,Anik Bus Depot,,,2026-09-15 17:45:00.0,0.00,0,0,0,0,0,27.6,85,1008.9,4.8,WSW,31.9
2026-09-18 10:02:48,53,Antop Hill ,,,2026-09-18 15:30:00.0,0.00,0,3.55,3.55,3.8,7.86,30.9,80,1009.2,3.2,E,39.7
2026-09-18 10:02:49,122,Anushakti Nagar,,,2026-09-18 15:15:00.0,0.00,0,0.2,0.2,0.8,2.4,30.1,88,1009.8,1.6,NNW,39.8
2026-09-18 10:02:50,112,"BPCL Terminal, Sewri",,,2026-09-18 15:15:00.0,0.00,0,0,0,0,3.4,31.0,78,1007.5,3.2,SSE,39.3
2026-09-18 10:02:51,117,BPT Colony,,,2026-09-18 15:30:00.0,0.00,0,0,0,0.2,2.2,30.7,81,1008.6,4.8,WSW,39.6
2026-09-18 10:02:52,138,"BSNL Colony, Khar Danda",,,2026-09-18 13:15:00.0,0.00,0,0,0,0,3,29.2,83,1010.0,0.0,---,35.8
2026-09-18 10:02:53,27,Bandra,,,2026-09-18 15:30:00.0,0.00,0,6,6,6,10.8,31.2,80,1008.4,1.6,S,40.5
2026-09-18 10:02:54,124,Bandra Bandstand,,,2026-09-18 15:15:00.0,0.00,0,7.8,7.8,7.8,14.8,29.6,88,1008.5,1.6,NNE,38.3
2026-09-18 10:02:55,124,Bandra Fort,,,2026-09-18 15:15:00.0,0.00,0,7.8,7.8,7.8,14.8,29.6,88,1008.5,1.6,NNE,38.3
2026-09-18 10:02:56,8,Bandra West,,,2026-09-18 15:30:00.0,0.00,0,1.2,1.2,1.2,4.4,31.4,78,1009.5,4.8,NNW,40.8
2026-09-18 10:02:57,111,Banganga Lake,,,2026-09-18 15:30:00.0,0.00,0,0,0,0,0,30.2,77,1009.5,8.0,N,37.2
2026-09-18 10:02:58,30,"Bhagwati Hospital, Borivali",,,2026-09-18 15:30:00.0,0.00,0,0,0,0.4,5.4,29.7,86,1009.1,9.7,W,38.0
2026-09-18 10:02:59,56,Bhaidas Auditarium,,,2026-09-18 15:30:00.0,0.00,0,2.2,2.4,2.4,28.4,29.3,83,1008.8,11.3,W,36.2
